Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",CP_Elec_5x5.4,3,22uF,
C10,CP_Elec_6.3x7.7,1,100uF,
"C13, C4, C6, C7, C8",0603,5,0.1uF,
"C3, C9",0603,2,1uF,
D1,D_SMA_Handsoldering,1,SS34,
"D2, D3, D6",0603,3,LED,
D5,D_SOD-123,1,BZT52C15,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J5,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
L1,L_6.3x6.3_H3,1,GDNR6045-6R8MTF,
L2,IND-SMD_L13.5-W12.6_YSPI1335T-1R0M,1,XR1365-220M,C41384053
Q3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,XR10N04S,C42456793
Q4,PDFN-8_L5.8-W5.0-P1.27-LS6.1-BL,1,XR25P04F,C42456987
"R1, R12, R4",0603,3,330,
R10,0603,1,5.1K,
"R11, R9",0603,2,50K,
"R13, R3, R7",0603,3,10K,
"R14, R5",0603,2,10,
R17,1206,1,10 mΩ,
R18,0603,1,1K,
R2,0603,1,82K,
R22,0603,1,210K,
R8,0603,1,56K,
"SW1, SW2, SW3, SW4",KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,4,TS-1095PS-A1B2-C3D2,C2834918
U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MIC4426,C398360
U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-1,1,HM8342S,C46634661
U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TLV9002IDR,C398360
U6,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224A,C42459160
